Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Periodical Review,The Times Literary Supplement,1980-06-06,p. 646,"http://link.galegroup.com/apps/doc/EX1200429466/GDCS?u=linc74325&sid=
GDCS&xid=2bbcdc94",2019-07-06,Gale Primary Sources Database,"""Among the magazines: Index"" The Times Literary Supplement, 6 June 1980, p. 646. The Times Literary Supplement
Historical Archive, http://link.galegroup.com/apps/doc/EX1200429466/GDCS?u=linc74325&sid=
GDCS&xid=2bbcdc94. Accessed 6 July 2019.",Among the Magazines: Index,,"Ntuli, Pitika",Ntuli,,Pitika,,,"Ogunde, Hubert|Writer 
Horn, Andrew|Writer
Herbstein, Denis|Reporter 
wa Thiong'o, Ngugi|Writer
Dogbe, Yves-Emmanuel|Writer 
",,,,Arrest of Pitika Ntuli,Fri Apr 07 00:00:00 CST 1978,Southern Afica. Swaziland.,Event|Political,,"""Other articles in the June issue, which is devoted to Africa and Argentina, include... 'Sculptor in prison', an interview with Pitika Ntuli, the black South African poet and artist, who describes how he coped with the ordeal of solitary confinement in Swaziland.""",,"sculptor, prison, imprisonment, solitary, jail, arrest",
News Report,The Sunday Times,1999-01-24,p. 8 [S7]+,http://link.galegroup.com/apps/doc/FP1802605366/GDCS?u=linc74325&sid=GDCS&xid=8daa4d90,2019-07-01,Gale Primary Sources Database,"Trapido, Barbara. ""Witness to man's inhumanity."" Books. Sunday Times, 24 Jan. 1999, p. 8[S7]+. The Sunday Times Digital Archive,
http://link.galegroup.com/apps/doc/FP1802605366/GDCS?u=linc74325&sid=GDCS&xid=8daa4d90. Accessed 1 July 2019.",Witness to man's inhumanity,"Trapido, Barbara ","Krog, Antjie",Krog,,Antjie,,,"Trapido, Barbara|Reporter
Tutu, Desmond|Politician 
de Klerk, Frederik Willem|Politician
Coetzee, Dirk|Politician 
Mdikisela-Mandela, Winnie|Politician ","Krog, Antjie. Country of My Skull. Random House, 1998.",,,South African Truth and Reconciliation Commission,1995,South Africa.,Event|Political,,"""Antjie Krog, the author of Country of My Skull, is a South African poet and journalist who headed the SABC's team that reported, daily, for two years, on the hearings of the Truth and Reconciliation Commission. She did an excellent job at some personal cost. As the stories of torture, shootings, burnings, and maimings roll on, she suffers stress-related hair loss and facial rashes. She learns quickly what can and cannot be broadcast...""",,"torture, shooting, protest, demonstration, journalist, report",
News Report,The Times Literary Supplement,1988-04-22,p. 448,"http://link.galegroup.com/apps/doc/EX1200454767/
GDCS?u=linc74325&sid=GDCS&xid=a3511eda",2019-07-06,Gale Primary Sources Database,"Fonseca, Isabel. ""Stirring a sense of common purpose."" The Times Literary Supplement, 22 Apr. 1988, p. 448.
The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200454767/
GDCS?u=linc74325&sid=GDCS&xid=a3511eda. Accessed 6 July 2019.",Stirring a sense of common purpose,"Fonseca, Isabel ","Haresnape, Geoffrey",Haresnape,,Geoffrey,"Shourbanov, Aleksander 
Seth, Vikram 
Akhmetov, Nizametdin ",,"Fonseca, Isabel|Reporter
King, Francis|Writer
Stephanova, Lilyana|Writer
Erdem, Emine|Writer
Erdem, Huseyin|Writer 
Bayley, John|Writer 
Murdoch, Iris|Writer 
Pinter, Harold|Writer 
Miller, Arthur|Writer ",,,,International PEN Conference,1988,United Kingdom. England. Cambridge. ,Event|Professional,Cambridge,"""The interdependence of academia and creative writing was the theme of this year's four-day annual International PEN Conference, which drew about 150 members from forty-five PEN Centres to Cambridge... Geoffrey Haresnape, a South African poet and professor at the University of Cape Town, gave a more heartening description of the attempts of English-Language universities in South Africa (whose existence depends on financial subsidy from the State) to move beyond a colonialist cultural stance, for example by including indigenous writing on their courses.""",,"conference, professor, colonialism, indigenous, identity, international",
Critical Article,The Times Literary Supplement,1965-09-16,p. 786+,http://link.galegroup.com/apps/doc/EX1200337630/GDCS?u=linc74325&sid= GDCS&xid=121db3c3,2019-07-01,Gale Primary Sources Database,"May, Derwent J., et al. ""SOUNDING THE SIXTIES- 2 THE COMMONWEALTH."" The Times
Literary Supplement, 16 Sept. 1965, p. 786+. The Times Literary Supplement Historical Archive,
http://link.galegroup.com/apps/doc/EX1200337630/GDCS?u=linc74325&sid=
GDCS&xid=121db3c3. Accessed 1 July 2019.",Sounding the Sixties--2: The Commonwealth,"May, Derwent J. ","Achebe, Chinua [Albert Chinualumogu]
Plomer, William 
Naude, Adele ",,,,,,"May, Derwent J.|Reporter
Tutuola, Amos|Writer 
Naipaul, V. S.|Writer 
Lamming, George|Writer 
Narayan, R. K.|Writer 
Jacobson, Dan|Writer 
Lessing, Doris|Writer 
Abrahams, Peter|Writer 
Gordimer, Nadine|Writer 
Paton, Alan|Writer 
Renault, Mary|Writer 
Millin, Sarah Gertrude|Writer 
Rabie, Jan|Writer 
Krige, Uys|Writer 
Ngugi, James|Writer 
Nkosi, Lewis|Writer",,,,,,,,,"Derwent May considers the state of the Commonwealth, mostly through its production of literature: ""The emergence of an African literature in English is undoubtedly the most extraordinary and significant development of the past five years...He has, however, been followed by other more discplined and less extravagent writers, of whom Mr. Chinua Achebe is unquestionably the chief; and other countries besides Mr. Tutuola's native Nigeria have made their contributions, the latest being Kenya, in the person of Mr. James Ngugi. Everyone is now conscious of the African writer; in poetry but especially in prose... Wonderful Africa has replaced the West Indies as the centre of interest.""",,"literature, critic, review, identity, emergence, development,",
Critical Article,Times,1973-05-29,p. 9,"http://link.galegroup.com/
apps/doc/CS152271037/GDCS?u=linc74325&sid=GDCS&xid=919ae17b",2019-06-29,Gale Primary Sources Database,"""Poetry International."" Times, 29 May 1973, p. 9. The Times Digital Archive, http://link.galegroup.com/
apps/doc/CS152271037/GDCS?u=linc74325&sid=GDCS&xid=919ae17b. Accessed 29 June 2019.",Poetry International,,"Mtshali, Oswald Joseph",Mtshali,,Oswald,"Auden, W. H. 
Bunting, Basil 
Eberhart, Richard 
Ginsberg, Allens 
Kallman, Chester 
Kinsella, Tomas 
MacDiarmid, Hugh 
Popa, Vasko 
Porter, Peter ",,"Osborne, Charles|Academic 
Theodorakis, Mikis|Artist ",,,,Poetry International,Mon Jun 25 00:00:00 CDT 1973,United Kingdom. England. London. Queen Elizabeth Hall.,Event|Professional,,"""The sixth Poetry International from June 25 to June 30, will again be divided between the Queen Elizabeth Hall and the Institute of Contemporary Arts. At the Queen Elizabeth Hall on June 29 and 30 poets from six countries will read their own work--preceded where necessary by English translation... Poetry International has presented more than 50 poets from 19 countries, and this year it will have its first South African, Oswald Mtshali. Mr. Mtshali lives in Johannesburg and his book of poems, Sounds of a Cowhide Drum, which ran to five reprints in South Africa, was published in England last year. He will appear at the Queen Elizabeth Hall on June 29...""",,"international, conference, translation, collection, presentation, reading",
Critical Article,Times,1918-01-24,p. 9,"http://link.galegroup.com/apps/doc/
CS152111672/GDCS?u=linc74325&sid=GDCS&xid=e586903b",2019-06-29,Gale Primary Sources Database,"""Oversea Poetry."" Times, 24 Jan. 1918, p. 9. The Times Digital Archive, http://link.galegroup.com/apps/doc/
CS152111672/GDCS?u=linc74325&sid=GDCS&xid=e586903b. Accessed 29 June 2019.",Oversea Poetry,,"Gouldsbury, Cullen
Cripps, Arthur Shearley","Gouldsbury
Cripps","
Shearley","Cullen
Arthur","Kipling, Rudyard 
Campbell, Wilfred 
Carman, Bliss 
Roberts, Charles G. D. 
Roberts, Theodore 
Lampman, Archibald 
Scott, Duncan C. 
Tennyson, Alfred Lloyd
Frechette, Louis 
Hugo, Victor 
Rand, Theodore 
Drummond, William 
Scott, Canon F. G. 
Bourinot, A. S. 
Gordon, Adam Lindsay 
Evans, George Essex 
Dennis, C. J. 
Seeger, Alan 
Van Dyke, Henry ",,"Lucas, Charles|Politician
Warren, Herbert|Academic ",,,,"Royal Colonial Institute, Meeting",Wed Jan 23 00:00:00 CST 1918,United Kingdom. England. London.,Event|Social,,"""At a meeting of the Royal Colonial Institute, yesterday Sir Charles Lucas in the chair, Sir Herbert Warren read a paper on Overseas Poetry... South Africa had a Kipling in Cullen Gouldsbury, who died at Tanga in August, 1916-- [poem excerpt]... So sang of him another very different South African poet, the Rev. Arthur Shearley Cripps, who was as if Livingstone were fused with Keble in a strange dual personality, and writing of Kipling and Rhodes.""",,"overseas, colonialism",
Critical Article,Times,1976-07-22,p. XIII,"http://link.galegroup.com/apps/doc/CS755465974/GDCS?u=linc74325&sid=
GDCS&xid=cb2d4352",2019-06-29,Gale Primary Sources Database,"Crowder, Michael. ""African culture asserted after struggle."" Times, 22 July 1976, p. XIII. The Times
Digital Archive, http://link.galegroup.com/apps/doc/CS755465974/GDCS?u=linc74325&sid=
GDCS&xid=cb2d4352. Accessed 29 June 2019.",African culture asserted after struggle,"Crowder, Michael ","Soyinka, Wole
Achebe, Chinua [Albert Chinualumogu]
Okigbo, Christopher","Soyinka
Achebe
Okigbo",,"Wole
Chinua
Christopher","Tennyson, Alfred Lloyd
Keats, John
Shakespeare, William",,"Crowder, Michael|Critic
Chopin, Frederic|Artist
Philips, T. Ekundayo|Artist 
Sowade, Fela|Artist 
Ransome-Kuti, J. J.|Artist
Murray, Kenneth|Academic 
Enwonwu, Ben|Artist 
Ekwensi, Cyprian|Writer 
Ibudor, Felix|Artist 
Euba, Akin|Artist 
Rotimi, Ola|Writer 
Okeke, Uche|Artist 
Udechukwu, Obiora|Artist 
Ladipo, Duro|Writer 
Ogunde, Hubert|Writer 
Ogunmola, Kola|Writer 
Yero, Kasimu|Artist 
Chase, James Hadley|Writer 
Robbins, Denise|Writer ",,,,,,,,,"""The pre-colonial artistic heritage of Nigeria suffered decay while the country was under British rule. Both Christianity, the religion of the colonial masters, and Islam, which made impressive gains under Pax Britannica, were opposed to manifestations of their converts' ancestral religions, although the latter was more tolerant of them... But the most exciting developments have been in literature, where the late Christopher Okigbo, the poet, Chinua Achebe, a novelist and poet, and Wole Soyinka, poet, playwright, novelist, have proved themselves superb craftsmen who leave the reader in no doubt of their identity, yet handle the English language with the same confidence as the best of their native English-speaking contemporaries."" ",,"colonialism, islam, muslim, literature, playwright, identity, afrikaans, language",
Critical Article,Times,1960-05-31,p. xix,http://link.galegroup.com/apps/doc/CS655056575/GDCS?u=linc74325&sid=GDCS&xid=588c1df0,2019-06-29,Gale Primary Sources Database,"LOUW, W. E. G. ""A New Look In Writing."" Times, 31 May 1960, p. xix. The Times Digital Archive,
http://link.galegroup.com/apps/doc/CS655056575/GDCS?u=linc74325&sid=GDCS&xid=588c1df0.
Accessed 29 June 2019.",A New Look in Writing,"Louw, W. E. G. ","Celliers, Jan
Leipoldt, C. Louis [Christian Frederik Louis]
Marais, Eugene
van den Heever, Toon
Vanwyk Louw, Nicholaas Petrus
Krige, Uys
Eybers, Elisabeth
van Heerden, Ernst
Pretorius, S. J. [Sarel Jacob]
Opperman, Diederik Johannes [D. J.]
Watermeyer, Gottfried Andreas [G. A.]
Rousseau, Ina
Philander, P. J. [Peter John]
Blum, Peter
Slater, Francis Carey [F. C.]
Campbell, Roy
Plomer, William
Butler, Guy
Delius, Anthony [Ronald St. Martin]
MacNab, Roy
Madge, Charles Henry
Wright, David
Currey, Ralph Nixon [R. N.]","Celliers
Leipoldt
Marais
van den Heever
van Wyk Louw
Krige
Eybers
van Heerden
Pretorius
Opperman
Watermeyer
Rousseau
Philander
Blum
Slater
Campbell
Plomer
Butler
Delius
MacNab
Madge
Wright
Currey",,"Jan
Louis
Eugene
Toon
N. P. 
Uys
Elisabeth
Ernst
S. J.
D. J.
G. A. 
Ina
P. J. 
Peter
F. C. 
Roy
Guy
Anthony
Roy

","Pringle, Thomas 
",,"Louw, W. E. G.|Critic
van Bruggen, Jochem|Writer
van den Heever, C. M.|Writer
Smit, Hettie|Writer 
Schreiner, Olive|Writer 
Fitzpatrick, Percy|Writer 
Millin, Sarah Gertrude|Writer 
Smith, Pauline|Writer 
Paton, Alan|Writer 
Jacobson, Dan|Writer 
Bosman, Herman|Writer 
Lessing, Doris|Writer 
Gordimer, Nadine|Writer 
Abrahams, Peter|Writer ",,,,,,,,,"""History has brought together in South Africa two languages so closley related that if one were to try to express their relationship in familiar terms, one could possibly say they are first cousins. Although this relationship right through the nineteenth century and deep into the present was marred by keen and sometimes even bitter rivalry, conditions are now such that in the literary field at least Afrikaans and English not only are a source of mutual inspiration, but to a large degree also complement each other... """,,"history, language, afrikaansm, colonialism",W. E. G. Louw writes on poets in South Africa from the early 1900s to the 1950s.
Book Review,Morning Post,1900-10-09,p. 7,"http://link.galegroup.com/apps/
doc/GS3215009967/GDCS?u=linc74325&sid=GDCS&xid=d3b6ab6b",2019-06-27,Gale Primary Sources Database,"""THE HANDY MAN."" Morning Post, 9 Oct. 1900, p. 7. British Library Newspapers, http://link.galegroup.com/apps/
doc/GS3215009967/GDCS?u=linc74325&sid=GDCS&xid=d3b6ab6b. Accessed 27 June 2019.",The Handy Man,,"Begbie, Harold",Begbie,,Harold,,,,"The Handy Man, and Other Verses by Harold Begbie. Grant Richards. 1900.",,,,,,,,"""The war in South Africa has evoked much poetry, must of it too bad for remembrance, but a good deal of it, on the other hand, worthy of preservation. Many of Mr. Harold Bedbie's pieces, reprinted in this attractive-looking volume, with a portrait of its principal hero, Jack, on the cover, appeared in our own columns, yet we do not in the least fear the accusation of nepotism when we say that none of the war poets has done better work all around than the author of these vigorous verses... This is altogether a capital little book, to be read now and often dipped into in the future.""",,"war, remembrance, memorial, collection, hero",
Critical Article,The Times,1965-09-13,p. vii,,,Gale Primary Sources Database,"Voice of the poets.
The Times (London, England),Monday, Sep 13, 1965; pg. vii; Issue 56425.
Category: Reviews
Gale Document Number:CS419916077",Voice of the poets,,"Aig-Imoukhuede, Frank
Soyinka, Wole
Okigbo, Christopher","Aig-Imoukhuede
Soyinka
Okigbo",,"Frank
Wole
Christopher","Baxter, James K. 
Stead, C. K. 
Turner, W. J. 
Porter, Peter 
Domett, Alfred
Gordon, Adam Lindsay 
Chaucer, Geoffrey
Skelton, John
Donne, John
Pope, Alexander
Browning, Robert
Tennyson, Alfred Lloyd
McDonald, Nan 
Mathew, Ray 
Patterson, Banjo 
Service, Robert W. 
Birney, Earle 
Le Pan, Douglas 
Wevill, David 
Elworthy, David 
Eliot, T. S. 
Butler, Samuel 
Moraes, Dom 
Brooke, Rubert 
Jones, Evan 
Figuera, John 
Walcott, Derek 
Frost, Robert 
Shelley, Percy",,"Naipaul, V. S.|Writer
Lamming, George|Writer",,,,,,,,,"""In Africa, the indigenous population have been most widely subject to these two langauges, Negritude for French-speaking Africans is a literary attitude which English-speaking Africans are apt to denigrate. But the problem of writing poetry is different for a Nigerian as opposed to a Canadian. He is aware of other languages and English may not be the language he was brought up to think in. The African Waring may still be writing in translation... [poetry excerpt] In this satirical piece young Frank Aid-Imoukhuede is so free in English he can write pigeon, know it, and have a go at western morality in a way wholly different from young David Elworthy having a go at upper-class afternoon tea in New Zealand. African poetry it seems to me must be (and is) fascinated by language... African poets like Wole Soyinka or Christopher Okigbo are entrancing and entranced by language. Either they write of people or ideas. There is no yearn for the exposition of landscape to bolster nationality. Their aim is to write like...how would this sentence go on?...Like T. S. Eliot? He may well stand for this sort of expatriate poetry.""",,"indigenous, language, negritude, afrikaans, satire, pigeon, moralty, colonialism, nationality, expatriate, exile","The author reviews and critiques poets from the Commonwealth (i.e., Canada, New Zealand, Australia, Africa, the West Indies, India...), discussing their perceived weaknesses and strengths in comparison with famous English poets."
Critical Article,The Times,1909-05-24,p. 56,,,Gale Primary Sources Database,"South African Poetry.
The Times (London, England),Monday, May 24, 1909; pg. 56; Issue 38967.
Category: News
Copyright 1909, The Times
Gale Document Number:CS939718840",South African Poetry,,"Pringle, Thomas
Thomson, William Rodger
Dugmore, H. H. 
Selwyn, W. 
Watermeyer, E. B. 
Runcie, John
Kolbe, F. C.
Fairlie, A. C. 
Slater, Francis Carey [F. C.]
Fallaw, Lance
Gibbon, Perceval
Scully, William Charles [W. C.] 
","Pringle
Thomson
Dugmore
Selwyn
Watermeyer
Runcie
Kolbe
Fairlie
Slater
Fallaw
Gibbon
Crouch
Scully
",,"Thomas
William Rodger
H. H. 
W. 
E. B. 
John
F.C.
A. C. 
F. C. 
Lance
Perceval
E. H. 
W. C. 

","Coleridge, Samuel Taylor",,"Florean, Floriel|Artist 
Somerset, Charles|Politician 
",,,,,,,,,"""The first sight of South Africa makes one feel that here indeed is a land which might well inspire poetry... South Africa thus affords plenty of material for poetry, but has so far produced no more than one poet of any note. Thomas Pringle was actually only six years in South Africa from April 1820 to April 1826, but during that brief period he entered into the spirit of the country and of its people in a way which no other writer has.""",,"landscape, nature, spirit","The author critiques poets from South Africa, suggesting that there are few poets of note. He lists some active poets in the period in South Africa."
Critical Article,Cape Monthly Magazine,1858-12-01,p. 342,,,Gale Primary Sources Database,"SOUTH AFRICAN POETRY.
Cape Monthly Magazine(Cape Town, South Africa),[Wednesday], [December 01, 1858]; pg. 342; Issue 24.
Category: Poem, verse
Sourced from the British Library
Gale Document Number:CC1903245009",South African Poetry,,"Thomson, William Rodger",Thomson,,W. R.,"Pringle, Thomas 
Longfellow, Henry Wadsworth
Homer
Virgil
Milton, John
Shakespeare, William",,"Thompson, William|Politician 
Ward, Harriett|Writer ",,,,,,,,,"""...The poet is born, not made. He is the choicest gift of heaven to men; and heaven's gifts are sovereign, impartial, and free. Why then should we despair of witnessing at no distant date, a bard arise even in despised South Africa? Here we have copious materials for the most rich-veined poetry... But we have dwelt on introductory matter sufficiently long already. It is not our purpose, in this paper, to discuss the genesis of poetry, or the capabilities of South Africa to evoke or sustain the poetic faculty. Our object is a much humbler and more pleasant one,--to introduce to our readers some of the writings of a South African poet, in which we think they will feel, as we have done ourselves, very considerably interested. The volume, whose title is appended below, has been issued in Holland by W. R. T., a Cape student, who is at present pursuing his theological studies, in preparation for his ministry in the Dutch Reformed Church of the colony. He is the son, we may add, of the Rev. William Thompson, the respected minister of Balfour, in the Kat River settlement...""",,"landscape, nature, collection, ministry, theology, colony, colonialism",The author presents the case for South African poetry as an emerging field of interest. 
Critical Article,The Times,1974-04-13,p. VII,"http://link.galegroup.com/apps/doc/CS520452749/GDCS?u=linc74325&sid=
GDCS&xid=76acdc3b",2019-06-29,Gale Primary Sources Database,"Whiteman, Kaye. ""Culture and politics travel forward hand in hand."" Times, 13 Apr. 1974, p. VII. The
Times Digital Archive, http://link.galegroup.com/apps/doc/CS520452749/GDCS?u=linc74325&sid=
GDCS&xid=76acdc3b. Accessed 29 June 2019.",Culture and politics travel forward hand in hand,"Whiteman, Kaye ","Senghor, Léopold Sédar",Senghor,,Leopold,,,"Whiteman, Kaye|Critic
Sartre, Jean-Paul|Writer
Tall, Papa Ibra|Artist
Diouf, Ibou|Artist 
Ousmane, Sembene|Writer ",,,,"First World Festival of Negro Arts
Second Negro Arts Festival","1966
1975",West Africa. Nigeria.,Event|Professional,,"""...President Senghor has seen the role of cultural pioneer in Africa as an important substitute for the leadership of West Africa, lost when the French West African Federation broke up on independence in 1960. Even those politically opposed to President Senghor appreciate the cultural stature he has brought to his country, and his own personal example has inspired and encouraged many.""",,"president, pioneer, independence, democracy","Kaye Whiteman discusses the negritude movement, President Leopold Senghor's involvement, and the First and Second ""World Festival of Negro Arts"" hosted in Nigeria."
Book Review,The Times Literary Supplement,1964-06-11,p. 501+,"http://link.galegroup.com/apps/doc/
EX1200333113/GDCS?u=linc74325&sid=GDCS&xid=fb06a5ee",2019-07-01,Gale Primary Sources Database,"Bowra, Maurice, and M. BOWRA. ""Africa on Record."" The Times Literary Supplement, 11 June 1964, p.
501+. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200333113/GDCS?u=linc74325&sid=GDCS&xid=fb06a5ee. Accessed 1 July 2019.",Africa on Record,"Bowra, Maurice ","Hasan, Muhammad Abdille
Diop, Birago
Karibo, Minji
Okara, Gabriel
Dadie, Bernard
Senghor, Léopold Sédar","Hasan
Diop
Karibo
Okara
Dadie
Senghor",,"Muhammad Abdille
B.
Minji
Gabriel
Bernard
Leopold",,,"Bowra, Maurice|Critic
Corfield, Richard|Academic
Whiteley, W. H.|Writer 
Andrzejewski, B. W.|Academic 
Lewis, I. M.|Academic 
Caseley Hayford, J. E.|Writer
Wake, Clive|Writer 
Reed, John|Writer 
Ngugi, J. T.|Writer","Andrezejewski, B. W. and I. M. Lewis. Somali Poetry: An Introduction. Oxford University Press, 1964.

Whiteley, W. H. A Selection of African Prose. At the Clarendon Press, Oxford, 1964","Anthology

Anthology",,,,,,,,,"collections, critic, review",Maurice Bowra presents multiple collections of African poetry and discusses their value. 
Book Review,The Times Literary Supplement,1985-08-23,p. 924, https://link.gale.com/apps/doc/EX1200168085/GDCS?u=linc74325&sid= GDCS&xid=0a74068e,2019-12-15,Gale Primary Sources Database,"Korn, Eric. ""Remainders."" The Times Literary Supplement, 23 Aug. 1985, p. 924. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200168085/GDCS?u=linc74325&sid= GDCS&xid=0a74068e. Accessed 15 Dec. 2019.",Remainders,"Korn, Eric","Rabearivelo, Jean-Joseph",,,,,,"Korn, Eric|Critic
Katzner, Kenneth|Writer
Davidson, Andrew|Writer
Parker, G. W.|Academic","Rabearivelo, Jean-Joseph. Vieilles chansons de pays Imerina (1939) [posthumous].",Selected Works,,Malagasy Army destroys dojo,1985,Southeast Africa. Madagascar.,Event|Political,,"I've always had a soft spot for Madagascar, if only because the people are called Malgache, which sounds as if it ought to mean a soft spot (""I was abseiling down the bergschrund when I dropped my karabiners into a malgache""), and because of the soft musicality of their language. ""Tsaroako ny tsikin'ny androko omaly/Izay manjary aloka foana, indrisy!"" sings J. J. Rabearivelo in Love Song, which may be rendered (courtesty K. Katzner, Languages of the World, Routledge and Kegan Paul) ""I recall the joys of days gone by / They waned alas to flit away!"" But when I read that an armoured division of the Malagasy Army had been called in to destroy the dojo of an intransigent karate sect which had been terrorizing peaceable tourists (or, according to others, brutally to extirpate the only democratic opposition) I thought it was time to be better informed...",,"review, critic, music, song, karate, dojo, army, tourist",
Book Review,The Times Literary Supplement,1985-11-01,p. 1243, https://link.gale.com/apps/doc/EX1200448104/GDCS?u=linc74325&sid= GDCS&xid=8111ba93,2019-12-15,Gale Primary Sources Database,"Sweetman, David. ""Red island rocks."" The Times Literary Supplement, 1 Nov. 1985, p. 1243. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200448104/GDCS?u=linc74325&sid= GDCS&xid=8111ba93. Accessed 15 Dec. 2019.",Red island roads,"Sweetman, David","Rabearivelo, Jean-Joseph",,,,,,"Sweetman, David|Critic
Murphy, Dervla|Writer
Bartory, Elizabeth|Politician",,,,Rabearivelo's suicide,1937,Southeast Africa. Madagascar.,Event|Personal,,"...You would think that the Malagasy themselves would exist in a waking dream, with lemurs playing about their heads in a distant version of the Peaceable Kingdom. Yet there are no abstract nouns in the central Malagasy language and their greatest poet, Jean-Joseph Rabearivelo, killed himself in 1937 because he could not reconcile his nationalism with the French language and culture in which he was obliged to work...",,"kingdom, language, suicide, death, funeral, nationalism",David Sweetman reviews Dervla Murphy's book Muddling through Madagascar.
Book Review,The Times Literary Supplement,1996-07-19,p. 11,https://link.gale.com/apps/doc/EX1200483321/GDCS?u=linc74325&sid= GDCS&xid=1d6c359c,2019-12-15,Gale Primary Sources Database,"Robinson, Peter. ""The music of Milan."" The Times Literary Supplement, 19 July 1996, p. 11. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200483321/GDCS?u=linc74325&sid= GDCS&xid=1d6c359c. Accessed 15 Dec. 2019.",The music of Milan,"Peter, Robinson","Rabearivelo, Jean-Joseph",,,,"Sereni, Vittorio
Fortini, Franco
Montale, Eugenio
Gozzano, Guido
Bertolucci, Attilio
Isella, Dante
Teresa, Maria",,"Robinson, Peter|Critic
Mussolini, Benito|Politician
Barile, Laura|Writer
Mengaldo, Pier Vincenzo|Writer
Bonfanti, Giosue|Writer
Colli, Barbara|Writer",,,,,,,,,"[A review of Italian poet Vittorio Sereni's collections]...The first part of Sereni's masterpiece, ""Un posto di vacanza"" contains two snatches of quotation in italics. While his few notes for Stella variabile (1981) had indicated that the second is from his translation of ""Ton Oeuvre"" by the Malagasay poet Jean-Joseph Rabearivelo, he had seen no need to point out that the first was of lines from an epigram by Fortini, ""Sereni esile mito"" (Sereni slender myth), which had cited his own war poem ""Italiano in Grecia"" to criticize its ""perplessa musica"" and attack his belief in youth: ""Non sempre giovinezza e verita"", Fortini writes (Youth is not always truth).",,"translation, collection, review, critic","Peter Robinson reviews Vittorio Sereni's collections of poetry, Poesie (edited by Dante Isella) and Scritture Private (edited by Zeno Birolli). "
Book Review,The Times Literary Supplement,1987-11-20,p. 1292+,https://link.gale.com/apps/doc/EX1200453233/GDCS?u= linc74325&sid=GDCS&xid=f4820cea,2019-12-17,Gale Primary Sources Database,"Carlton, David, et al. ""Specialist issues."" The Times Literary Supplement, 20 Nov. 1987, p. 1292+. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200453233/GDCS?u= linc74325&sid=GDCS&xid=f4820cea. Accessed 17 Dec. 2019.",Specialist issues: Literature,"Walder, Dennis","P'Bitek, Okot",,,,"Yali-Manisi, D. L. P
Achebe, Chinua [Albert Chinualumogu]",,"Walder, Dennis|Critic
Roberts, Sheila|Writer
Collins, John|Academic
Wanambisi, Monica|Academic
Lindforts, Bernth|Academic
Coplan, David|Writer
Opland, Jeff|Academic
Skotnes, Cecil|Artist
Attwell, David|Academic
Mofolo, Thomas|Writer
Opata, Damian|Writer",,,"Wanambisi, Monica Nalyaka. Thought and Technique in the Poetry of Okot p'Bitek. Vantage Press, 1984.  ",Conference of African Linguists,Fri Oct 01 00:00:00 CDT 1982,Germany. Cologne. ,Event|Professional,,"[A review of Research in African Literatures, volume 18.] It may be that there are ""already too many little magazines and academic journals in existence, more than any of us can read or subscribe to, even in our own disciplines"". This is how Sheila Roberts opens a review of a new English-language journal from an Afrikaans university in the spring 1987 issue of Research in African Literatures. The new journal sounds all too supernumerary, indeed. But where else might such a publication be knowledgeably noticed? More important, where else would such a notice be found jostled by reviews of Volume Four of the Unesco General History of Africa, Spracher, Geschichte und Kultur in Afrika (papers of the third conference of African linguists held in Cologne in October 1982) and Monica Wanambisi's Thought and Technique in the Poetry of Okot p'Bitek (1984)? These are only five of the twenty-five reviews which--as is usual in this journal--make up close on half the contents...",,"review, critic, literature, essay, research",Dennis Walder reviews the academic journal Research in African Literatures: Volume 18. 
