Poet ID,"Poet Name (Last name, first name[Alternate])",Poet Gender,DOB (YYYY-MM-DD),DOD (YYYY-MM-DD),Poet Nationality (Country Name) ,Poet University Name,Poet University Place,Poet University Date Entered,Poet University Date Graduated,Poet University Degree,In CAP,Poet BIB,Poet  PUB,PUB TYPE,Short Bio,Notes,BIO INFO
LER25SA,"Lerner, Laurence","M
",1925-12-12,2016-01-16,South Africa.South Africa,"University of Cape Town
University of Cape Town","South Africa. South Africa. Cape Town.
South Africa. South Africa. Cape Town.
",,"1944
1945","BA
MA",,"Domestic Interior (1959)
The Directions of Memory (1964)
Selves (1969)
A.R.T.H.U.R.: the life and opinions of a digital computer (1975)
A.R.T.H.U.R & M.A.R.T.H.A. The loves of the computers (1980)
The Man I Killed (1980)
Chapter & Verse: Bible Poems (1984)
Selected Poems (1984)
Rembrandt's Mirror (1987) ",,,"Laurence learner was a South African/British poet, writer, and academic. He taught in universities around the world. Lerner was a member of the Society of Friends (Quakers) and published nine collections of poetry. 

https://en.wikipedia.org/wiki/Laurence_Lerner",,"Accessed 11/2/2019

https://www.poetryarchive.org/poet/laurence-lerner

https://en.wikipedia.org/wiki/Laurence_Lerner

https://www.encyclopedia.com/arts/culture-magazines/lerner-laurence-david"
LEW39SA,"Lewin, Hugh","M
",1939-12-03,2019-01-16,South Africa.South Africa,Rhodes University,South Africa. South Africa. Grahamstown. ,,1960,[unknown],,Bandiet: Seven Years in a South African Prison (1974),,,"Hugh Lewin was a South African anti-apartheid activist and writer. He wrote for ""Drum"" magazine in Johannesburg. Lewin was imprisoned for seven years, starting in 1964, by the South African government for his activities in support of the African Resistance Movement. In 1971, he was officially allowed to leave South Africa on a permanent departure permit. In 1992, Lewin returned to South Africa to become involved in the negotiations to end apartheid and in the Truth and Reconcilliation Comimttee as a member of its Human Rights Violations Committee. He co-founded Baobab Press with Irene Staunton.

https://en.wikipedia.org/wiki/Hugh_Lewin",,"Accessed 11/2/2019

https://www.sahistory.org.za/people/hugh-lewin

https://www.theguardian.com/world/2019/jan/21/hugh-lewin-obituary

http://www.coldtype.net/Assets.04/Essays.04/LewinBook.pdf"
LIV32MY,"Livingstone, Douglas","M
",1932-01-05,1996-02-19,Southeast Asia.Malaysia,"University of Natal
University of Natal
","South Africa. South Africa. Natal. 
South Africa. South Africa. Natal. 
",,1989,PhD.  honorary,,"The Skull in the Mud (1960)
Sjambok and Other Poems from Africa (1964)
Poems (with Thomas Kinsella and Anne Sexton, 1968)
Eyes Closed Against the Sun (1970)
A Rosary of Bone (1975)
The Anvil's Undertone (1978)
Selected Poems (1984)
A Littoral Zone (1991)
Giovanni Jacopo Meditates on the High-IQ Haiku (1995)
A Ruthless Fidelity—Collected Poems of Douglas Livingstone (2004)
",,,"Douglas Livingstone, born 1932, moved to South Africa with his family as a child following the Japanese invasion of Malaya, where they had lived. In 1964, he started work as a marine biologist in Durban. He gained two doctorates from the University of Natal; one for his scientific work and an honorary one for his poetry. He published ten books of poetry. 

https://en.wikipedia.org/wiki/Douglas_Livingstone_(poet)",,"Accessed 11/2/2019

https://www.encyclopedia.com/arts/culture-magazines/livingstone-douglas-james

https://en.wikipedia.org/wiki/Douglas_Livingstone_(poet)"
LIY39SS,"Liyong, Taban Lo","M
",1939,Alive,North Africa.South Sudan,"Howard University
University of Iowa","North America. USA. Washington D.C.. 
North America. USA. Iowa City, IA.",,1968,"BA
MFA",,"Franz Fanon’s Uneven Ribs (1971)
Another Nigger Dead (1972)
Ballads of Underdevelopment (1976)
Carrying Knowledge Up a Palm Tree (1997)
",,,"Taban Lo Liyong, born in 1939, is a poet, fiction writer, and literary critic from South Sudan. He was the first African to graduate from the University of Iowa's Writers Workshop. Liyong has had published over twenty books. 

https://en.wikipedia.org/wiki/Taban_Lo_Liyong",,"Accessed 11/2/2019

https://www.britannica.com/biography/Taban-lo-Liyong

http://www.africanbookscollective.com/authors-editors/taban-lo-liyong

https://en.wikipedia.org/wiki/Taban_Lo_Liyong


"
LUM25CO,"Lumumba, Patrice Hemery","M
",1925-07-02,1961-01-17,Middle Africa.Republic of the Congo,[none],[none],,[none],[none],,"May Our People Triumph: Poem, Speeches & Interviews ",,,"Patrice Lumumba was an African nationalist leader and poet. He was the first prime minister of the Democratic Republic of the Congo in 1960. Forced out of office during a political crisis, he was assassinated a short time later.

https://www.britannica.com/biography/Patrice-Lumumba","African nationalist leader, the first prime minister of the Democratic Republic of the Congo (June–September 1960). Forced out of office during a political crisis, he was assassinated a short time later.","Accessed 11/2/2019

https://www.britannica.com/biography/Patrice-LumumbaLumumba

https://www.sahistory.org.za/people/patrice-emery-lumumba

https://www.pambazuka.org/governance/patrice-lumumba-poet

"
MAC23SA,"MacNab, Roy","M
",1923-09-17,2004,South Africa.South Africa,"Hilton College
Jesus College","South Africa. South Africa. Natal.
United Kingdom. England. Oxford. ",,"[none]
1955","BA
MA
",,"Testament of a South African (1947)
The Man of Grass and Other Poems (1960)
Winged Quagga, with Reassembling World (1981)",,,"Roy Macnab was a South African poet, journalist, broadcaster, diplomat and author. He worked as a cultural attaché for the South African High Commission in London from 1955–59, a counselor for cultural and press affairs for the South African Embassy in Paris from 1959–67, and director of the South Africa Foundation in London from 1968–84. He published three collections of poetry. 

https://www.encyclopedia.com/arts/culture-magazines/macnab-roy-martin-0 ",,"Accessed 02/28/2020

https://books.google.com/books?id=JhXmEYWHDHYC&pg=PA208&lpg=PA208&dq=roy+macnab+graduation&source=bl&ots=aEJOfjcv8T&sig=ACfU3U3tSEMxL_-ND-w34eGh2uogntpHmw&hl=en&sa=X&ved=2ahUKEwjLvfCenPXnAhULQ60KHXxsCCMQ6AEwD3oECAgQAQ#v=onepage&q=roy%20macnab%20graduation&f=false

https://www.encyclopedia.com/arts/culture-magazines/macnab-roy-martin-0"
MAD12SA,"Madge, Charles Henry","M
",1912-10-10,1996-01-17,South Africa.South Africa,Magdalene College ,United Kingdom. England. Cambridge. ,,[none],"[unknown]
",,"The Disappearing Castle (1937)
The Father Found (1941) 
Of Love, Time, and Places (1994)",,,"Charles Madge, born in 1912, was a South African/English poet, journalist and sociologist, now most remembered as a founder of Mass-Observation, the social research organization. He was classified as a surrealist poet. 

https://en.wikipedia.org/wiki/Charles_Madge",,"Accessed 11/3/2019

https://www.jrank.org/literature/pages/4916/Charles-Madge-(Charles-Henry-Madge).html"
MAN48SA,"Mann, Chris","M
",1948-04-06,Alive,South Africa.South Africa,"University of Witwatersrand
Oxford University","South Africa. South Africa. Johannesburg.
United Kingdom. England. Oxford.",,"[none]
1971","[unknown]
MA",,"First Poems (1979)
New Shades (1982)
Kites (1992)
Mann Alive! (1992)
South Africans (1996) 
Heartlands (2002)
Rudiments of Grace (2014)",,,"Born 1948, Chris Mann is a South African poet. He is a lecturer of poetry with the Institute for the Study of English in Africa. He is founder and convenor of Wordfest, a national multilingual festival of South African languages and literature with a developmental emphasis. 

https://en.wikipedia.org/wiki/Chris_Mann_(poet)",,"Accessed 11/3/2019

https://www.seh.ox.ac.uk/people/chris-mann

https://en.wikipedia.org/wiki/Chris_Mann_(poet)
"
MAP44MA,"Mapanje, Jack","M
",1944-03-25,Alive,East Africa.Republic of Malawi,"Univeristy of Malawi
Institute of Education London
University College London","Southeast Africa. Malawi. Zomba. 
United Kingdom. England. London. 
United Kingdom. England. London. 
",,"[none]
[none]
1983","BA
MPhil
PhD",,"Of Chameleons and Gods (1981)
The Chattering Wagtails of Mikuyu Prison (1993)
The Last of the Sweet Bananas: New and Selected Poems (2004)
The Beasts of Nalunga (2007)",,,"Jack Mapanje was born in Malawi in 1944. Mapanje’s poems consider the effects of exile, imprisonment, and political power. In 1981, he published his book Of Chameleons and Gods, which the Malawi government banned. Mapanje’s was arrested in 1987 and held without charge for four years. During this time, Mapanje was awarded the Rotterdam Poetry International Award in 1988. After his release in 1991, Mapanje moved to England, where he now teaches creative writing and literature. 

https://www.poetryfoundation.org/poets/jack-mapanje


 ",,"Accessed 11/3/2019

https://www.poetryfoundation.org/poets/jack-mapanje

https://www.poetryarchive.org/poet/jack-mapanje`"
MAR71SA,"Marais, Eugene","M
",1871-01-09,1936-03-29,South Africa.South Africa,[none],[none],,[none],[none],,"SELECTED POEMS
Die Dans Van Die Reen
Winternag
Waar Tebes In Die Stil Woestyn
The Dance Of The Rain
Mabalel
Skoppensboer
Die Stille Rusplaas
Winter's Night
   
",, ,"Eugene Marais was a South African poet, writer, and naturalist who, during the Boer War in 1899, joined a German expedition that sought to ship ammunition and medicines to the Boer Commandos. Following the war, Marais studied nature in the wilderness of Pretoria, cataloguing animals and writing in Afrikaans. He was considered the leader of the Second Afrikaans Language Movement.

https://en.wikipedia.org/wiki/Eug%C3%A8ne_Marais","Marais' work as a naturalist, although by no means trivial (he was one of the first scientists to practice ethology and was repeatedly acknowledged as such by Robert Ardrey and others), gained less public attention and appreciation than his contributions as a literalist. He discovered the Waterburg Cycad which was named after him (Encephalartos eugene-maraisii). He is amongst the greatest of the Afrikaner poets and remains one of the most popular, although his output was not large. Opperman described him as the first professional Afrikaner poet; Marais believed that craft was as important as inspiration for poetry. Along with J.H.H. de Waal and G.S. Preller, he was a leading light in the Second Afrikaans (language) Movement in the period immediately after the Second Boer War, which ended in 1902. ","Accessed 11/4/2019

https://www.poemhunter.com/eugene-marais/biography/

https://en.wikipedia.org/wiki/Eug%C3%A8ne_Marais"
MAR52ZI,"Marechera, Dambudzo","M
",1952-06-04,1987-08-18,East Africa.Zimbabwe,"University of Rhodesia
",South Africa. Zimbabwe. Harare. ,,[none],"[unknown]
",,"Mindblast, or the Definitive Buddy (1984)
Cemetery of Mind (1992)",,,"Dambudzo Marechera was born in 1952 in Southern Rhodesia and grew up in poverty and under white rule, which would inform much of his writing. Mindblast, or the Definitive Buddy (1984) was the last collection published during his brief lifetime, and included four plays, a prose narrative, and poetry. He died young, and posthumous publications of his works include Cemetery of Mind (1992), a powerful collection of his poetry. 

https://www.britannica.com/biography/Dambudzo-Marechera",,"Accessed 11/4/2019

https://www.vqronline.org/essay/dambudzo-marechera-life-and-times-african-writer

https://www.britannica.com/biography/Dambudzo-Marechera
"
MOD23SA,"Modisane, William [Bloke]","M
",1923-08-23,1986-03-01,South Africa.South Africa,[none],[none],,[none],[none],,[none],,,"William ""Bloke"" Modisane was born in 1923 in South Africa; a South African journalist, writer, and actor, Modisane became heavily involved in critiquing the South African government. He joined ""Drum"" magazine alongside writers Henry Nxumalo, Can Themba, Es'kia Mphahlele, and Lewis Nkosi. He published short stories in the literary magazine ""Black Orpheus."" In 1959, Modisane left South Africa for England and subsequently wrote Blame Me on History, which examined the way that apartheid had left a lasting impact on his psyche as a black man.

https://www.sahistory.org.za/people/william-bloke-modisane","From Encyclopedia Britannica: Educated in Johannesburg, Modisane served in the 1950s on the editorial staff of Drum magazine—which provided an important forum for a number of African writers, including Richard Rive, Alex La Guma, Es’kia Mphahlele, and Can Themba. ","Accessed 01/29/2020

https://www.sahistory.org.za/people/william-bloke-modisane

https://www.britannica.com/biography/Bloke-Modisane"
MOL55SA,"Moloise, Benjamin","M
",1955,1985-10-18,South Africa.South Africa,[none],[none],,[none],[none],,[none],,,"Benjamin Moloise, born 1955, was a South African poet and political activists who was hanged by the South African apartheid government in 1985. He had been accused of murdering a policeman in 1982. He was a supporter of the then-forbidden African National Congress, which claimed Moloise had had nothing to do with the murder.

https://en.wikipedia.org/wiki/Benjamin_Moloise","Black upholsterer and poet, Benjamin Moloise was executed by apartheid government on 18 October 1985. Moloise was accused of murdering a black police officer. The African National Congress claimed responsibility for the murder and repudiated the claim that Moloise was involved. The US and the Soviet Union warned the apartheid government against the execution, but the government still decided to go ahead with it. The execution aroused so much anger in the townships that violence escalated. It spiraled out of control and subsequently reached areas like the Johannesburg CBD which had previously remained sheltered from it. ","Accessed 11/4/2019

https://www.sahistory.org.za/dated-event/south-african-black-activist-and-poet-benjamin-moloise-hanged-allegedly-killing-police


https://www.sahistory.org.za/people/malesella-benjamin-moloise"
MOT30SA,"Motjuwadi, Stanley","M
",1930,1989,South Africa.South Africa,[none],[none],,[none],[none],,"SELECTED POEMS
Taken for a Ride (featured in In the Country of the Heart: Love Poems from South Africa)
White Lies (featured in Voices from Within. Black Poetry from Southern Africa)",,,"Stanley Motjuwadi, born 1930, was a journalist, poet, short story writer, and teacher. As a journalist, he worked with Bantu World, Golden City Post, Rand Daily Mail. He worked as an editor of ""Drum,"" and helped with the creation and was in the cast of Phiri, 1972. 

https://esat.sun.ac.za/index.php/Stanley_Motjuwadi",Friend of Desmond Tutu. Editor of African Magazine Drum. ,"Accessed 11/4/2019

https://www.theguardian.com/politics/1999/nov/20/1"
MTS40SA,"Mtshali, Oswald Joseph","M
",1940-01-17,Alive,South Africa.South Africa,"University of Iowa
Columbia University","North America. USA. Iowa City, IA.
North America. USA. New York, NY.",,"1974
[none]","[unknown]
[unknown]
",,"Sounds of a Cowhide Drum (1971)
Fireflames (1980)

",,,"Oswald Joseph Mtshali was born in 1940 in South Africa. Living under apartheid, Mtshali published his first volume of poetry, ""Sounds of a Cowhide Drum,"" in 1971, which is still regarded as a landmark in South African literature. Mtshali moved to the United States to study creative writing. In 1971, Mtshali was awarded the Olive Schreiner Poetry Prize, and in 1973, he was granted the Poetry International Award in London.

http://www.literarytourism.co.za/index.php?option=com_content&view=article&id=392:oswald-joseph-mtshali-&catid=13:authors&Itemid=28","Mtshali’s poetry inevitably reflects his harsh experiences under the apartheid regime. He observes with a bitter and sardonic eye the grimy beer halls, the crowded trains, the slum housing, and the harsh working conditions that make up the lot of black Africans in South Africa. His bitterness finds expression in brilliantly controlled lines etched with an acid irony. Mtshali’s poetry is remarkable for its evocative imagery, and his confident and unexpected similes have a rich emotional impact.","Accessed 11/4/2019

https://www.britannica.com/biography/Oswald-Mbuyiseni-Mtshali

https://www.sahistory.org.za/people/oswald-mbuyiseni-mtshali"
MUR64GB,"Murray, Charles","M
",1864-09-27,1941-04-12,United Kingdom.Scotland,[none],[none],,[none],[none],,"A Handful of Heather (1893)
Hamewith (1900)
The Sough o' War (1917)
 In the Country Places (1920)",,,"Charles Murray was a poet from Scotland, although he wrote most of his poetry while working as a civil engineer in South Africa. He fought in the Armed Forces in both the Second Boer War and the First World War, and then resettled in Scotland in the 1920s.

https://en.wikipedia.org/wiki/Charles_Murray_(poet)","Not from South Africa, but wrote most of his poetry while in South Africa for the Boer War.","Accessed 12/6/2019

https://www.scottishpoetrylibrary.org.uk/poet/charles-murray/"
NAU10SA,"Naude, Adele",F,1910,1981,South Africa.South Africa,[none],[none],,[none],"[none]
",,"Pity the Spring (1953)
No Longer at Ease (1956)
Only a Setting Forth (1965) 
Time and Memory (1974)",,,"Adele Naude was born in 1910 in South Africa and worked as a poet and travel writer. She wrote on her travels with her husband through North America, the Middle East, and Europe. 

https://www.encyclopedia.com/women/dictionaries-thesauruses-pictures-and-press-releases/naude-adele-1910-1981",,"Accessed 11/4/2019

https://www.encyclopedia.com/women/dictionaries-thesauruses-pictures-and-press-releases/naude-adele-1910-1981"
NEA##SA,"Neale, H. Woodhouse [Mome]","M
",[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"H. Woodhouse Neale was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",Part of the Veldsingers' Club. Could not find biographical information,
NEL##SA,"Nelson, Robert Alexander","M
",[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Robert Alexander Nelson was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",Part of the Veldsingers' Club. Could not find biographical information,
NOR42SA,"Nortje, Arthur","M
",1942-12-16,1970-12-11,South Africa.South Africa,"University of the Western Cape
Jesus College at Oxford","South Africa. South Africa. Cape Town.
United Kingdom. England. Oxford. ",,"1965
1967","BA
BA/MA",,"Anatomy of Dark: Collected Poems of Arthur Nortje (2000)
Dead roots: poems (1973)",,,"Arthur Notje was a South African poet who was emigrated in 1967 to Canada following his graduation from the University of the Western Cape and Jesus College in the UK. While in school, he was taught by writer Dennis Brutus, who served as his mentor. His poetry was largely published posthumously. His poems deal extensively with his own personal alienation, being classified as coloured in apartheid South Africa, and his experiences of exile.

https://en.wikipedia.org/wiki/Arthur_Nortje","Mentor/teacher was Dennis Brutus, who called him “perhaps the best South African poet of our time.”  Died young of a drug overdose.","Accessed 11/7/2019

https://www.sahistory.org.za/article/biography-arthur-nortje-kangkang-yang

https://www.poetryfoundation.org/poets/arthur-nortje"
NTU42SA,"Ntuli, Pitika","M
",1942,Alive,South Africa.South Africa,"Pratt Institute
Brunel University","North America. USA. New York, NY.
United Kingdom. England. London. ",,"1977
1985","MFA
MFA",,The Poetry (2014),,,"Pitika Ntuli, born 1942, in Springs, Gauteng, is a South African sculptor, poet, writer, and academic who spent 32 years of his life in exile in Swaziland and the UK. Ntuli's sculptures are in private collections worldwide, and he has traveled Africa reading his poetry, speaking as a keynote speaker, and appearing as a political and cultural commentator on television.

https://en.wikipedia.org/wiki/Pitika_Ntuli",Spent 32 years in exile in Swaziland and the UK. Poet and sculptor.,"Accessed 11/7/2019

https://www.sahistory.org.za/people/pitika-ntuli

https://badilishapoetry.com/pitika-ntuli/

https://www.pitikantuli.com/biography/"
OCU42UG,"Oculi, Okello","M
",1942,Alive,East Africa.Uganda,Makerere University,East Africa. Uganda. Kampala. ,,1967,[unknown],,"Orphan (1968)
Malak: An African Political Poem (1976)",,,"Okello Oculi, born 1942, is a Ugandan poet and writer on rural African village life. His poetry has been compared to that of Okot p'Bitek and Joseph Buruga, in that he is critical in his writing of colonial influences on Africa and African literature and poetry. He obtained a doctorate in philosophy 1972 from the University of Wisconsin in Madison. 

https://en.wikipedia.org/wiki/Okello_Oculi ",,"Accessed 01/15/2019

https://www.britannica.com/biography/Okello-Oculi"
OFE50NI,"Ofeimun, Odia","M
",1950-03-16,Alive,West Africa.Nigeria,University of Ibadan,"West Africa. Nigeria. Ibadan. 
",,1970,[unknown],,"The Poet Lied (1980)
A Handle for The Flutist (1986)
Under African Skies (1990)
London Letter and Other Poems (2000)
Dreams At Work and Other Poems (2000)
A Feast of Return (2000)
Go Tell the Generals (2010)
A Boiling Caracas and Other Poems (2008)
I Will Ask Questions With Stones If They Take My Voice (2008)
Nigeria The Beautiful: Poems for Dance Drama (2011)",,,"Born 1950 in Nigeria, Odia Ofeimun is a poet, cultural and political critic, and editor of several anthologies of Nigerian poetry. Ofeimun was involved with, including serving as the President of, the Association of Nigerian Authors in the 1980s and 90s. He was also designated advisor to PEN Nigeria Centre and is a founding member of the Pan African Writers' Association. Ofeimun is the creator of over forty written works. 

https://en.wikipedia.org/wiki/Odia_Ofeimun","His work appeared in the anthology Poems of Black Africa, edited by Wole Soyinka.","Accessed 11/7/2019

https://www.poetryinternational.org/pi/poet/27223/Odia-Ofeimun/en/nocache"
OGU40NI,"Ogundipe-Leslie, Omolara",F,1940-12-27,2019-06-18,West Africa.Nigeria,"University College Ibadan 
Leiden University","West Africa. Nigeria. Ibadan. 
Europe. Netherlands. Leiden. ",,"1963
[none]","[unknown]
[unknown]",,"Sew the Old Days and Other Poems (1985)
Re-Creating Ourselves: African Women & Critical Transformations (1994)",,,"Omolara Ogundipe-Leslie was a Nigerian feminist, activist, poet, and writer. Ogundipe-Leslie was a frontrunner in writing on gender studies and feminism in Africa; she is known for the creation of the term ""STIWA"" or ""Social Transformation in Africa Including Women."" She was also the Founder and Director of the Foundation for International Education and Monitoring. 

https://en.wikipedia.org/wiki/Molara_Ogundipe","While at Ibadan, she joined various organizations and clubs, including writing poetry and criticisms for the Mbari Artists, Writers Club, and The Horn. (Interestingly The Horn has seen other literary “big names” including Wole Soyinka and Abiola Irele). Ogundipe was in the leadership of feminist activism and gender studies in Africa for decades. She was the Founder and Director of the Foundation for International Education and Monitoring, which is dedicated to teaching young women the doctrine and virtues of feminist theories and gender equality.","Accessed 11/7/2019

https://beyondthesinglestory.wordpress.com/2017/12/13/molara-ogundipe-leslie/

https://en.wikipedia.org/wiki/Molara_Ogundipe"
OKA21NI,"Okara, Gabriel","M
",1921-04-24,2019-03-25,West Africa.Nigeria,"Yaba Higher College
Northwestern University","West Africa. Nigeria. Lagos. 
North America. USA. Evanston, IL.",,"[none]
1949","[unknown]
[unknown]",,"The Fisherman's Invocation (1978)
Little Snake and Little Frog (1981)
An Adventure to Juju Island (1992)
The Dreamer, His Vision (2005)
As I See It (2006)
Collected Poems (2016)",,,"Gabriel Okara was born in 1921 in Nigeria; he was known as as the first Modernist poet of Africa. Okara's poetry often concerns the impact of colonialism and Western influence on African culture and literature. His work incorporates African religion and folklore. He has received several awards for his work, though he is best known for his novel The Voice, published 1964.

https://en.wikipedia.org/wiki/Gabriel_Okara","Several of his poems were featured in the Nigerian literary journal Black Orpheus. Together with Chinua Achebe, he was roving ambassador for Biafra's cause during part of 1969.","Accessed 11/7/2019

https://www.poetryfoundation.org/poets/gabriel-okara

https://www.jrank.org/literature/pages/5280/Gabriel-Okara-(Gabriel-Inomotimi-Gbaingbain-Okara).html

https://www.britannica.com/biography/Gabriel-Okara"
OKI32NI,"Okigbo, Christopher","M
",1932-08-16,1967-09,West Africa.Nigeria,"University College, Ibadan",West Africa. Nigeria. Ibadan.,,1956,[unknown],,"Heavensgate (1962) 
Labyrinths with Path of Thunder (1971) 
Collected Poems (1986)",,,"Christopher Okigbo was a Nigerian activist and poet who died defending the independent Biafra during the Nigerian Civil War in 1967. During his life, Okigbo helped to found the African Authors Association and published his work in various journals, notably the literary journal ""Black Orpheus."" Okigbo rejected the first African poetry award of the 1966 World Festival of Negro Arts. 

https://en.wikipedia.org/wiki/Christopher_Okigbo"," From the Poetry Foundation: ""Okigbo published his work in the journal Black Orpheus... Along with the writers Wole Soyinka and Chinua Achebe, Okigbo belonged to the Mbari Writers and Artists Club in Ibadan, an organization for writers and visual and theater artists that maintained a publishing house. Okigbo served as a manager for Cambridge University Press of West Africa and, with Chinua Achebe, founded Citadel Press. 

When the Nigeria-Biafra war broke out, Okigbo joined as a major and was killed in combat in 1967. He was awarded the National Order of Merit of Biafra after his death.""","Accessed  11/7/2019

https://www.encyclopedia.com/arts/encyclopedias-almanacs-transcripts-and-maps/okigbo-christopher

https://www.poetryfoundation.org/poets/christopher-okigbo

https://www.britannica.com/biography/Christopher-Okigbo"
OPO19GH,"Opoku, A. A. ","M
",1919,[none],West Africa.Ghana,[none],[none],,[none],[none],,Poem included in: Poems from Black Africa (1963),,,"A. A. Opoku was born in 1919 in Ghana. He wrote poetry in Twi that was translated to English; his poetry is included in the colleciton ""Poems from Black Africa,"" published 1963.","Cannot find biographical information. Wrote in Twi, translated.","
Accessed 03/01/2020

https://books.google.com/books?id=gfH2A6AhZ7wC&pg=PA154&lpg=PA154&dq=Opoku,+A.+A.+twi&source=bl&ots=evqnUB6Ufp&sig=ACfU3U3CYuVbau1yXgIUzV4mw7Sv2U3Ftw&hl=en&sa=X&ved=2ahUKEwi57bSLofrnAhVvIjQIHcsyB-8Q6AEwBHoECAsQAQ#v=onepage&q=Opoku%2C%20A.%20A.%20twi&f=false"
OPP14SA,"Opperman, Diederik Johannes [D. J.]","M
",1914-09-29,1985-09-22,South Africa.South Africa,University of Natal,South Africa. South Africa. Natal.,,1935,[unknown],,"Heilige Beeste (1943)
Negester oor Ninevé
Joernaal van Jorik (1949)
Engel uit die klip (1948)
Blom en baaierd (1948)
Dolosse 
Kuns-mis 
Edms. Bpk
Komas uit 'n bamboesstok (1979)",,,"D. J. Opperman was an Afrikaans poet born in 1914 in South Africa. eOpperman was awarded the Hertzog prize for poetry in 1947 for his collection ""Holy cattle."" From 1960 to 1975 he was a professor of Afrikaans at Stellenbosch University, where he also served on the editorial board of the publication ""Standpunte."" 

https://en.wikipedia.org/wiki/D._J._Opperman","The Literary Laboratory was a workshop for emerging poets and writers in Afrikaans. Some of the eminent poets, writers and literary critics who attended this laboratory were Lina Spies, Daniel Hugo, Erika Murray-Theron, Joan Hambidge, Fanie Olivier, Marlene van Niekerk, Etienne Britz and Louise Viljoen","Accessed 11/7/2019

http://www.nb.co.za/Authors/333

https://en.wikipedia.org/wiki/D._J._Opperman"
PBI31UG,"P'Bitek, Okot","M
",1931-06-07,1982-07-20,East Africa.Uganda,"University of Bristol
University of Oxford ","United Kingdom. England. Bristol. 
United Kingdom. England. Oxford. 
",,1963,"[unknown]
[unknown]",,"Song of Lawino (1966)
Song of Ocol (1970)
Two Songs (1971)",,,"Okot p'Bitek was a Ugandan poet who received fame for his long-form poem ""Song of Lawino,"" published in 1966 and originally written in the Acholi dialect of Southern Luo but translated to English. p'Bitek left Uganda to teach at the University of Iowa in 1969 and remained in exile until 1982.

https://en.wikipedia.org/wiki/Okot_p%27Bitek",,"Accessed 11/7/2019

https://www.britannica.com/biography/Okot-pBitek

https://www.encyclopedia.com/people/literature-and-arts/miscellaneous-english-literature-20th-cent-biographies/okot-pbitek"
PAT03SA,"Paton, Alan","M
",1903-01-11,1988-04-12,South Africa.South Africa,University of Natal,South Africa. South Africa. Natal.,,1922,"[unknown]
",,,,,"Alan Paton, born 1903, was a South African activist, writer, and poet, most known for his novel Cry, The Beloved Country. From 1919 to 1922, Paton attended the University of Natal, from which he graduated with degrees in science and education. At this time, Paton began writing poetry and drama.

https://en.wikipedia.org/wiki/Alan_Paton",,"Accessed 11/7/2019

https://www.encyclopedia.com/arts/encyclopedias-almanacs-transcripts-and-maps/paton-alan

https://www.britannica.com/biography/Alan-Stewart-Paton"
PET32GA,"Peters, Lenrie","M
",1932-09-01,2009-05-28,West Africa.Gambia,Trinity College,United Kingdom. England. Cambridge. ,,1959,[unknown],,"Poems (1964)
Satellites (1967)
Katchikali (1971)
Selected Poetry (1981)",,,"Lenrie Peters was a Gambian surgeon, poet, and novelist. Peters was interested in Pan-Africanist politics and became involved in the African Students' Union at Cambridge University. He was a fellow of the West African College of Surgeons and the Royal College of Surgeons in England.

https://en.wikipedia.org/wiki/Lenrie_Peters",,"Accessed 11/7/2019

https://www.britannica.com/biography/Lenrie-Peters

https://www.encyclopedia.com/education/news-wires-white-papers-and-books/peters-lenrie-1932"
PHI21SA,"Philander, P. J. [Peter John]","M
",1921-11-05,2006-02-07,South Africa.South Africa,University of South Africa,South Africa. South Africa. Pretoria.,,[none],[none],,"Uurglas (1955)
Zimbabwe (1968)
",,,"P. J. Philander was born in South Africa in 1921, and would go on to publish two works of poetry: ""Uurglas"" in 1955 and ""Zimbabwe"" in 1968. 

https://www.wikidata.org/wiki/Q15880424",Very little biographical information found.,"Accessed 11/7/2019

https://www-jstor-org.libproxy.unl.edu/stable/20109563?seq=1#metadata_info_tab_contents

https://books.google.com/books?id=cw5bDwAAQBAJ&pg=PT70&lpg=PT70&dq=Philander,+P.+J.+%5BPeter+John%5D+university&source=bl&ots=l1p6lbXrp7&sig=ACfU3U2FGtHU1CYxpDwp8N-lY5_Fkma4gQ&hl=en&sa=X&ved=2ahUKEwjJp_rtovrnAhVyNX0KHdAXCpAQ6AEwAXoECAkQAQ#v=onepage&q=Philander%2C%20P.%20J.%20%5BPeter%20John%5D%20university&f=false"
